R,G,B,Vre1,Vre2,Vre3,Nir,Swir1,Swir2,NNir,Label_id,Label_txt
695,806,471,381,222,227,186,65,48,163,1,water
676,812,533,438,239,265,204,84,74,166,1,water
570,705,521,476,286,303,250,115,116,249,1,water
503,814,676,1390,2538,3004,3154,1810,944,3423,1,water
370,575,372,878,2382,2979,3134,1973,954,3304,1,water
351,596,302,895,2652,3517,3494,1667,787,3824,1,water
378,542,310,712,2444,3326,3466,1535,719,3638,1,water
313,494,274,684,2313,3037,3045,1428,671,3212,1,water
321,486,263,664,2127,2880,2949,1350,628,3175,1,water
361,557,299,760,2376,3115,3288,1507,693,3393,1,water
351,571,291,800,2408,3194,3338,1557,737,3463,1,water
343,535,263,724,2481,3267,3348,1498,685,3379,1,water
351,521,270,710,2483,3404,3496,1577,719,3640,1,water
608,739,543,512,324,346,308,138,90,299,1,water
343,526,266,717,2589,3518,3473,1593,757,3657,1,water
376,582,330,816,2135,2583,2635,1283,635,2777,1,water
378,591,337,816,2135,2662,2812,1276,591,2811,1,water
329,526,297,759,2295,3012,3051,1238,552,3199,1,water
421,778,420,1183,2783,3335,3432,1780,943,3592,1,water
448,752,449,1234,2744,3286,3143,1393,688,3612,1,water
412,717,401,1037,2579,3188,3238,1238,580,3413,1,water
332,553,243,752,2779,3917,3886,1523,727,3925,1,water
404,742,385,1127,3056,3916,3956,1715,818,4213,1,water
393,659,378,1016,2357,2872,2908,1246,601,3126,1,water
651,778,651,624,385,423,349,130,61,334,1,water
401,705,380,1054,2797,3517,3857,1657,820,3831,1,water
481,926,472,1368,3274,3996,4320,2106,1122,4292,1,water
405,623,328,885,2429,3169,3386,1447,753,3384,1,water
370,618,326,880,2407,2983,3099,1458,685,3177,1,water
340,561,271,822,2627,3494,3594,1446,656,3772,1,water
375,615,323,872,2881,3790,3802,1859,929,4069,1,water
349,533,271,758,2180,2800,2690,1428,704,2963,1,water
302,526,247,724,2270,2821,2832,1498,733,3121,1,water
309,539,278,728,2131,2675,2876,1346,655,2892,1,water
317,503,249,673,2443,3305,3184,1395,647,3453,1,water
574,718,550,494,290,312,256,136,78,234,1,water
325,494,236,645,2234,3072,3274,1415,625,3294,1,water
300,462,239,648,2423,3321,3307,1408,658,3630,1,water
364,577,291,803,2215,2600,2586,1542,753,2725,1,water
325,497,271,672,2150,2806,2957,1383,677,3067,1,water
332,515,283,714,2173,2723,2740,1441,695,2961,1,water
472,608,345,768,2201,2785,2666,1512,756,2888,1,water
440,644,305,828,2865,3858,3996,1860,897,3876,1,water
452,626,358,805,2223,2839,3079,1612,822,3012,1,water
461,644,363,842,2450,3140,3123,1938,1020,3179,1,water
550,771,543,999,1586,1752,1841,1742,907,1935,1,water
600,730,634,584,278,337,283,127,81,275,1,water
484,789,386,1114,2992,3579,3347,2054,1055,3680,1,water
480,769,420,1049,2311,2702,2683,1701,865,2723,1,water
562,832,558,1254,2721,3328,3430,1898,976,3542,1,water
618,961,656,1473,2916,3394,3471,2320,1278,3705,2,vegetation_type_1
595,924,537,1376,3146,3776,3912,1974,999,4076,2,vegetation_type_1
556,874,549,1313,2754,3254,3415,1985,1061,3493,2,vegetation_type_1
