Brightness,Greenness,Wetness,Label
378.6314,-366.2595,142.37373,0
595.81036,-573.4126,233.28824,0
310.6198,-270.83585,82.34568,0
3474.0737,201.67258,-1641.7814,0
3341.6885,206.8662,-1549.7772,0
4985.5757,359.78632,-2357.7227,0
2712.4768,281.955,-1283.5289,0
2599.097,317.85223,-1224.8567,0
2169.0667,321.16925,-1036.4464,0
2669.2598,359.05734,-1264.4093,0
4735.9414,545.022,-2247.402,0
4055.8118,234.97144,-1923.1428,0
3651.142,345.96082,-1761.0779,0
249.33943,-223.47806,76.943825,0
2455.9211,340.4519,-1192.9009,0
3872.428,429.78027,-1823.2208,0
2641.194,317.31256,-1272.1719,0
3721.785,266.87094,-1719.4553,0
4269.915,316.88593,-2082.651,0
4618.7515,504.30838,-2242.4,0
4083.317,302.48517,-1944.9885,0
4651.499,358.182,-2230.1128,0
3167.8684,192.83919,-1506.9791,0
2110.291,114.113945,-1021.839,0
381.65485,-336.2022,111.69289,0
2974.8125,275.31006,-1442.1166,0
3770.551,324.47232,-1844.1273,0
3309.0947,237.8758,-1625.7942,0
3328.9106,301.8944,-1595.2067,0
2714.8237,147.50983,-1289.4639,0
4391.2705,460.6158,-2109.1074,0
2401.1206,80.781624,-1310.9021,0
1482.5822,49.83055,-785.48114,0
1710.512,292.0049,-861.86676,0
1134.801,100.28571,-643.7502,0
372.6082,-334.95374,117.20865,0
1995.6818,65.48664,-1017.2739,0
1853.8319,180.88875,-897.6441,0
959.47815,101.51377,-490.59625,0
2341.4526,352.59012,-1160.1473,0
3228.2493,374.6573,-1548.8711,0
1240.5217,229.35414,-615.7374,0
3540.2312,615.5718,-1754.8353,0
1475.7019,133.27994,-819.795,0
1158.5813,93.90173,-620.77203,0
1318.4268,170.2937,-636.3802,0
325.73837,-297.44693,106.95459,0
3569.7485,359.4481,-1684.5664,0
3617.535,420.72687,-1704.8257,0
1602.8966,247.62401,-766.45135,0
3783.762,515.7576,-1816.547,0
2217.2908,357.488,-1076.5466,0
1696.9364,198.94263,-806.63574,0
1825.3057,155.47708,-861.8296,0
2592.9148,243.8601,-1236.0728,0
2894.545,264.81464,-1382.2449,0
2131.3267,268.42664,-1024.9415,0
261.3301,-243.5826,89.96747,0
2970.6746,281.24802,-1397.7356,0
4686.2363,797.0909,-2285.8135,0
2901.8909,326.41028,-1388.4341,0
3781.1519,509.72952,-1797.5262,0
2501.451,174.84943,-1171.69,0
2899.9258,140.25967,-1347.5718,0
2079.4033,83.161736,-967.17377,0
3660.2314,130.54341,-1659.6245,0
5038.398,205.4736,-2404.137,0
4766.8726,476.0323,-2274.5906,0
348.4227,-324.3933,118.55844,0
1677.9021,123.73688,-830.7952,0
1893.9297,198.23717,-907.6889,0
3034.1316,490.57507,-1548.2837,0
2477.1992,122.06913,-1188.9318,0
5246.354,471.19113,-2485.094,0
3421.9849,235.47707,-1592.5537,0
3619.728,468.30673,-1739.348,0
3641.1372,442.08362,-1774.6381,0
4527.8896,186.79958,-2090.446,0
1095.3025,69.587234,-518.36633,0
466.81088,-421.15338,151.14778,0
2381.1707,130.70445,-1117.2322,0
4323.2354,81.7817,-2016.7117,0
2807.4973,337.37326,-1377.1255,0
3990.6687,353.70203,-1933.6296,0
4021.1013,160.08981,-1886.9016,0
3069.0784,146.9144,-1492.5922,0
4325.5645,301.7617,-2132.0383,0
4466.354,11.264316,-2144.3862,0
4785.9614,403.90924,-2313.291,0
2913.8708,140.13843,-1399.8673,0
282.3456,-257.3149,80.4197,0
1748.3986,167.46521,-843.7813,0
2577.9094,119.96282,-1250.275,0
2452.1775,134.63303,-1195.99,0
2430.3054,110.6138,-1165.6008,0
1457.6431,13.103982,-673.5436,0
1166.4707,107.77643,-575.6676,0
2438.4753,173.83838,-1143.6682,0
3012.656,340.22635,-1435.1273,0
649.2788,63.935455,-315.94464,0
1478.0278,170.71904,-721.8427,1
510.63763,-453.64874,160.43845,1
2305.069,215.1781,-1126.3141,1
2204.4392,183.86368,-1056.293,1
2092.201,99.19761,-1017.6852,1
2012.7916,136.99979,-987.6953,1
1732.2288,149.00168,-865.76025,1
1504.1025,142.7628,-725.74713,1
490.92435,23.309551,-268.39456,1
1273.8197,125.82971,-607.05206,1
1827.6324,230.44337,-887.15967,1
2191.3713,230.87944,-1065.4897,1
233.2431,-205.20586,74.29054,1
430.24808,-390.80487,131.52113,1
579.33875,-154.63104,-420.27216,1
813.64465,-173.1573,-635.49097,1
282.07736,-47.45771,-226.84836,1
471.45676,-83.19711,-317.8291,1
1695.3524,-495.12976,-1337.6062,1
1173.0457,-254.99605,-1035.7941,1
1662.9309,-446.8416,-1210.5433,1
1408.0659,-407.95242,-994.57404,1
743.45764,-615.7095,-49.255768,1
1434.0421,-130.74184,-1056.1475,1
355.80292,-322.52237,107.62521,1
607.0457,-505.36108,-45.63904,1
1841.276,-599.24115,-1210.0042,1
1418.4624,-505.20026,-1055.7233,1
1602.7434,-338.64886,-1162.1726,1
1745.186,-530.6782,-1307.2546,1
1615.2783,-514.1721,-1181.4181,1
1901.5024,-469.95383,-1218.3206,1
1588.888,-294.4199,-1082.3789,1
1396.1932,-381.74927,-880.0341,1
1778.1476,-528.9053,-1273.9805,1
253.65715,-230.88582,74.77366,1
1183.2139,-314.35724,-776.5894,1
885.5545,-299.71478,-576.8839,1
994.5977,-214.5045,-747.8661,1
778.2468,-189.57187,-612.4939,1
1238.5094,-453.6715,-1107.634,1
934.79144,-253.59912,-791.97784,1
739.62756,-212.23462,-618.42163,1
859.6975,-239.2671,-717.3331,1
363.394,-76.31052,-248.06413,1
1058.2311,-252.35918,-640.39996,1
285.754,-260.3999,91.862595,1
861.3804,-221.6434,-675.8486,1
1697.3578,-393.67545,-1248.5244,1
1174.6124,-321.2932,-945.66754,1
1940.2664,-535.4143,-1580.315,1
985.70337,-268.35995,-804.7185,1
1512.6403,-400.77078,-1202.3152,1
1526.5969,-397.4537,-1172.6243,1
1591.5321,-383.41302,-1166.1477,1
