Brightness,Greenness,Wetness,Label
819.4895,-803.2166,310.5171,0
821.8873,-805.0202,311.784,0
829.6049,-801.869,307.1335,0
828.9891,-807.2981,306.8097,0
820.519,-793.7312,303.3757,0
817.7202,-794.4447,311.3273,0
820.6967,-796.6057,310.9963,0
815.2392,-795.551,312.5017,0
809.9743,-792.5743,304.7702,0
809.8809,-792.3577,306.1541,0
839.9757,-803.9598,318.8942,0
835.1756,-801.8199,316.5068,0
834.9378,-800.3808,306.4876,0
832.0231,-801.0758,302.1942,0
823.5095,-796.6369,306.144,0
831.1014,-804.0374,305.2516,0
827.5071,-800.2786,302.0553,0
831.3559,-806.7782,314.9511,0
833.2714,-809.3931,307.754,0
824.6777,-799.1224,308.5256,0
821.241,-798.8511,312.7107,0
815.3636,-793.8438,308.0778,0
813.695,-790.8846,312.2341,0
814.8634,-794.037,310.3266,0
802.8054,-785.2856,302.3055,0
847.4807,-824.9873,316.9089,0
856.9092,-826.9791,307.3639,0
849.4425,-821.1831,318.4197,0
848.6475,-809.8093,321.8469,0
852.5083,-809.2084,316.3042,0
853.2714,-817.2866,316.8896,0
844.8556,-813.3847,324.4473,0
837.2654,-804.3774,308.829,0
832.9485,-799.6472,295.8323,0
827.0995,-797.6505,292.9416,0
823.2304,-798.3692,306.8051,0
832.2831,-808.3832,310.0775,0
833.0976,-808.5419,302.1932,0
829.7002,-808.1044,314.5449,0
823.6734,-798.2975,297.5578,0
824.7016,-799.3384,314.1726,0
808.8201,-786.5199,307.0868,0
809.6511,-788.2968,307.2685,0
805.0967,-776.0403,308.9577,0
802.2864,-776.8517,307.6769,0
797.6293,-777.8239,305.4632,0
862.0699,-830.6949,312.7209,0
860.6154,-827.9382,310.6243,0
859.9159,-831.7507,311.6399,0
854.3874,-829.2126,313.4283,0
861.1386,-840.322,326.4366,0
860.5663,-830.9987,313.85,0
854.1669,-824.4555,315.5405,0
852.98,-818.8848,317.9262,0
850.8232,-813.7395,316.1785,0
844.7755,-812.7137,314.7342,0
841.9891,-807.8032,321.1071,0
840.3826,-806.578,309.3337,0
828.6034,-797.2926,293.4762,0
828.834,-804.3902,300.4624,0
829.762,-808.1488,308.42,0
835.0678,-811.2474,305.5648,0
832.2606,-808.611,305.6704,0
838.3898,-814.3221,319.4589,0
822.0152,-793.7117,300.4847,0
812.2711,-783.8407,306.6681,0
808.4494,-784.3755,308.2279,0
803.9651,-784.4451,314.1239,0
800.0253,-772.0733,313.5372,0
803.8029,-777.7453,309.4539,0
794.0741,-772.8591,301.1654,0
865.9083,-832.6673,317.3872,0
862.9731,-829.6078,317.4831,0
865.387,-829.4418,322.3949,0
860.5101,-828.7768,326.4367,0
863.9088,-835.0321,323.8084,0
857.1349,-830.3324,319.5528,0
859.1819,-827.5895,324.9384,0
857.4739,-825.3787,319.5205,0
856.9915,-824.2861,314.9166,0
848.3517,-818.1429,320.0659,0
841.3182,-809.5628,323.9556,0
834.2924,-811.5374,313.97,0
831.9421,-804.2592,298.9103,0
836.206,-807.68,307.5305,0
830.9281,-805.1213,308.1276,0
830.3492,-804.4622,309.2884,0
828.5463,-803.1686,320.3574,0
822.4562,-793.6285,308.8941,0
820.4958,-789.3553,302.5622,0
818.2156,-787.0459,310.0747,0
811.1789,-786.4303,305.0307,0
805.479,-785.6845,315.7953,0
801.2569,-775.3298,314.025,0
803.8433,-781.8241,308.9345,0
799.031,-778.2437,308.7662,0
859.5139,-830.0494,312.5431,0
863.9638,-829.5167,324.381,0
